lemma	paradigm	tags	sources_count	source_flags
מתנייע	ת		1	H
הגייה	ע		2	HL
שנייה	ע		2	HL
מטרייה	ע		2	HL
שכמייה	ע		1	H
אטרייה	ע		1	H
דלייה	ע		1	H
נגרייה	ע		1	H
מרפדייה	ע		1	H
סנדלרייה	ע		1	H
סימנייה	ע		1	H
תעשייה	ע		2	HL
שערורייה	ע		2	HL
שערורייתי	ת	#,[3],does,not,recognize,this,word,,but,Rav-Milim,does.	2	HL
נטייה	ע		2	HL
נמייה	ע		1	H
בנייה	ע		2	HL
מנייה	ע		2	HL
ראייה	ע		2	HL
רטייה	ע		2	HL
צפייה	ע		2	HL
סטייה	ע		2	HL
פנייה	ע		2	HL
תחייה	ע		2	HL
ברייה	ע	#,the,singular,exists,but,very,literary-looking.,the,plural,is,more,common.	2	HL
שכייה	ע	#,בביטוי:,שכיות,חמדה	1	H
ארייה	ע	#,rare,word,,meaning,picking,of,figs	1	H
עגבנייה	ע		2	HL
פייה	ע		2	HL
ענייה	ע		2	HL
פטרייה	ע		2	HL
פטרייתי	ת		2	HL
מעשייה	ע		2	HL
מימייה	ע		1	H
צרכנייה	ע		1	H
עוגייה	ע		2	HL
כנסייה	ע		2	HL
כנסייתי	ת		2	HL
לחמנייה	ע		2	HL
חמנייה	ע	#,in,[1].,note,that,[3],says,the,official,word,is,חמנית...	1	H
חמנית	ע	#,rarely,used,spelling,(see,חמנייה)	1	H
נקניקייה	ע		2	HL
פנימייה	ע		2	HL
פנימייתי	ת		1	H
שלישייה	ע		2	HL
רביעייה	ע		2	HL
חמישייה	ע		2	HL
שביעייה	ע		1	H
שמינייה	ע		1	H
תשיעייה	ע		1	H
עשירייה	ע		1	H
אלפייה	ע	#,slang	1	H
גופייה	ע		2	HL
גומייה	ע		1	H
מעדנייה	ע		2	HL
מלחייה	ע	#,note:,[3],declares,this,wrong,,and,corrects,to:,ממלחה.	1	H
כרטיסייה	ע		1	H
חשבונייה	ע	#,TRODO:,strangely,,[3],doesn't,have,this,word!	1	H
פתילייה	ע		1	H
קוקייה	ע		2	HL
ספרייה	ע		2	HL
תקליטייה	ע		1	H
